label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_um,mean_intensity,max_intensity
209,911.3461538461538,301.15384615384613,26.0,0.9147087114173689,5.753627391751592,761.1569570338042,185.65384615384616,218.0
210,372.3529411764706,302.1764705882353,17.0,1.1454006794557343,4.652426491681278,615.477254628669,219.23529411764707,239.0
211,871.0909090909091,306.72727272727275,11.0,1.3175850953161343,3.742410318509555,495.08969838615985,188.9090909090909,199.0
212,1048.3636363636363,305.90909090909093,11.0,1.5596762428443343,3.742410318509555,495.08969838615985,182.72727272727272,197.0
213,1105.1333333333334,314.3,30.0,0.7189179233547599,6.180387232371033,817.6137276157513,208.0,238.0
214,1117.75,314.75,12.0,1.4473907532219665,3.9088200952233594,517.1043250972568,198.33333333333334,226.0
215,1418.9285714285713,315.64285714285717,14.0,1.2947179437557332,4.222008245644752,558.5365074967536,206.35714285714286,217.0
216,1159.125,317.6875,16.0,1.255099881825741,4.51351666838205,597.100642588042,225.5625,242.0
217,1033.4,318.8,10.0,1.760039459412564,3.5682482323055424,472.04950573208737,131.6,163.0
218,383.38461538461536,319.61538461538464,13.0,1.55714602173725,4.068428945128219,538.2192458659206,135.3846153846154,147.0
219,528.6666666666666,320.9166666666667,12.0,1.4373655585266916,3.9088200952233594,517.1043250972568,134.5,150.0
220,599.8,320.76666666666665,30.0,0.9200189782204795,6.180387232371033,817.6137276157513,219.46666666666667,242.0
221,685.5333333333333,320.0,15.0,1.3956938909918393,4.370193722368317,578.1402111883085,188.4,213.0
222,1070.344827586207,324.9655172413793,29.0,0.7319212417614402,6.076507779746499,803.8713416956305,202.31034482758622,232.0
223,880.4,325.6,15.0,1.4468021151679342,4.370193722368317,578.1402111883085,186.4,210.0
224,1080.2222222222222,326.55555555555554,18.0,0.8987917976142308,4.787307364817192,633.3208701372743,195.27777777777777,234.0
225,764.625,331.625,16.0,0.9144072744389107,4.51351666838205,597.100642588042,212.25,247.0
226,1431.2,333.6666666666667,15.0,1.2576242881606488,4.370193722368317,578.1402111883085,127.73333333333333,144.0
227,412.09090909090907,336.27272727272725,11.0,1.3628608270835645,3.742410318509555,495.08969838615985,129.0909090909091,145.0
228,977.6428571428571,336.14285714285717,14.0,1.13505476231887,4.222008245644752,558.5365074967536,139.78571428571428,180.0
229,355.4,339.4,10.0,1.238964388257786,3.5682482323055424,472.04950573208737,121.6,145.0
230,1125.9285714285713,340.85714285714283,14.0,1.2947179437557332,4.222008245644752,558.5365074967536,180.71428571428572,204.0
231,148.0,344.3529411764706,17.0,1.37044659722731,4.652426491681278,615.477254628669,213.11764705882354,234.0
232,720.0,343.45454545454544,11.0,1.2658753953015107,3.742410318509555,495.08969838615985,197.36363636363637,219.0
233,68.18181818181819,344.54545454545456,11.0,1.4822832322288846,3.742410318509555,495.08969838615985,130.9090909090909,146.0
234,908.5,345.125,24.0,0.886013325199113,5.527906391541368,731.2959497143268,203.29166666666666,226.0
235,1488.0,345.5,10.0,1.2566370614233509,3.5682482323055424,472.04950573208737,191.6,201.0
236,1037.7826086956522,351.4347826086956,23.0,0.8091653985615183,5.4115163798060095,715.8985210785033,181.2173913043478,203.0
237,749.3125,352.9375,16.0,1.2972054426501372,4.51351666838205,597.100642588042,167.0,187.0
