label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,mean_intensity,max_intensity
35,503.60321753986335,426.0293280182232,7024.0,0.7043204810311079,94.56867643263166,255.13872352112566,92.62880614683408,249.90510867966663,40268.83385535308,62708.0
36,649.2788944723618,179.4358458961474,5970.0,0.8044587760602147,87.18509093915611,235.2184005465681,85.39667881732726,230.3934077148436,43029.16130653266,64250.0
37,1420.0042796005707,571.4832778570296,6309.0,0.5704853193819432,89.62627007598911,241.80450656341256,69.40290657166337,187.24348969782204,40380.855127595496,62708.0
38,870.3780095077442,814.9694832080969,6521.0,0.6394581167498811,91.11967444640041,245.83359208243263,85.51230986508345,230.70537103120597,39974.39717834688,61423.0
39,676.009877138039,640.2469284509757,4151.0,0.7686257089002156,72.6995003435076,196.13743596675604,89.10349016460674,240.39408818489585,39779.83570224042,62194.0
40,1473.9736765561372,147.3996509598604,6876.0,0.7827378213870894,93.56706209772207,252.43644817468638,85.88976469483205,231.72371396548132,44506.56180919139,63222.0
41,1104.417473081641,154.20389805097452,7337.0,0.7375535441366545,96.65277305758944,260.76144948753176,88.72228911440263,239.36563824752918,41156.3940302576,61423.0
42,251.85824295010846,439.22733188720173,9220.0,0.5588484835894176,108.34790539026677,292.3139809105086,97.23529970921376,262.333059791482,38455.17201735358,60652.0
43,1509.65533555283,503.7049237778167,5707.0,0.6229584310027612,85.24305298265409,229.97893750296217,97.48308110324031,263.00155417005413,42598.729455055196,60652.0
44,1193.298539365871,242.63804773779836,5614.0,0.8096777315457,84.54564923248981,228.09739797731893,82.81137950464385,223.41847699316878,43406.21962949768,61680.0
45,1002.6256992431721,568.5868706811451,6078.0,0.7929873385587932,87.97016512943647,237.33646790600926,86.16564892165314,232.46802753870648,40033.81770319184,59110.0
46,283.39447628973426,339.35209310404724,5757.0,0.8308675763924516,85.6156531192768,230.98418286355928,83.85943459375316,226.24604577917856,39432.91575473337,58853.0
47,44.76336434957125,562.7082649151615,5481.0,0.7161889836957396,83.53817058502914,225.37930118476183,86.9653775833893,234.62563148977767,38091.423097974824,59881.0
48,732.9736369083283,514.5138805672059,5007.0,0.7056319828858195,79.84428846504275,215.41350273560818,83.11995158155733,224.2509797709152,44727.29039344917,62708.0
49,1338.1826712161833,870.8406044357787,8206.0,0.7459475282221766,102.21645515325184,275.7718186870612,93.82946396119013,253.1443874101741,41032.339385815256,58853.0
50,1499.8873111232479,596.8041143273257,5493.0,0.7791803803520382,83.62956904845468,225.6258869272069,71.62122067226632,193.22832367612077,41032.32150009103,60652.0
51,1399.9810631229236,411.8531561461794,6020.0,0.8170747033317121,87.54942637907845,236.20134841664338,85.75354070976402,231.35619255168658,40005.67873754153,60395.0
52,777.944721030043,828.0066952789699,5825.0,0.8393353262720367,86.11980229936854,232.3443370195124,84.353242252202,227.57829933706083,40294.59982832618,61423.0
53,873.0653180975911,180.45506485484867,6476.0,0.7934855363403251,90.80473165923081,244.983901638072,79.62876468578702,214.83203682107853,37859.99706609018,60138.0
54,1435.808611599297,687.7050966608084,5690.0,0.8570788539283307,85.1159973773619,229.63615164433222,88.60793573130493,239.05712196820224,39804.55746924429,59881.0
55,1039.104137171622,229.2672644329086,6357.0,0.6193751601803243,89.96657037967731,242.72260955873904,82.58469793826788,222.8069082616117,41988.83545697656,60138.0
56,350.6310891089109,752.5573267326732,10100.0,0.5161329660019984,113.40070282773887,305.94602417301326,122.70537588027128,331.0492876949015,41813.849108910894,62965.0
