label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_nm,mean_intensity,max_intensity
135,455.0296167247387,230.73519163763066,574.0,0.9224817861186794,27.034043328329254,20.838732720906023,142.76364315383432,192.16304505850323
136,1362.155844155844,221.37662337662337,77.0,1.0823628677615993,9.901487006738307,7.632392933865109,95.79372023483289,100.91396249680716
137,1028.922857142857,233.26857142857142,700.0,0.8885539210179357,29.854106607209232,23.012530558354914,133.2171918312961,177.91624935405798
138,356.17391304347825,226.7391304347826,46.0,1.1433285346926183,7.653039857325812,5.899215672342027,97.46814739534412,100.59111532576496
139,377.7491961414791,235.35369774919613,311.0,0.8766239271491044,19.899183360445615,15.338947207282375,106.91780691633014,124.79411926728244
140,512.421052631579,230.24561403508773,57.0,0.8355967211704791,8.51907589177983,6.5667848268883215,100.74429965501423,102.73637544932575
142,790.8085991678224,246.95492371705964,1442.0,0.8583512236436944,42.848703871973825,33.0291949517452,148.94706390293356,210.23201263096865
145,1210.454678362573,244.65350877192984,684.0,0.9590692133443958,29.51094455619561,22.74800992508593,137.27721324202298,192.10761995730843
146,672.7679794520548,251.24914383561645,1168.0,0.9197459673347734,38.563503319209346,29.726020954056096,149.0549876354163,197.75816444197983
147,413.95541795665633,253.1640866873065,1615.0,0.7000374646053178,45.34624421875849,34.954381469878264,145.3692795059102,201.43735640094192
148,1390.9939577039274,243.29305135951662,331.0,0.9810846270793784,20.529059630371258,15.824476622057967,110.57392468280779,141.85335660166908
149,109.78030303030303,244.3560606060606,132.0,0.7550797427262267,12.964089628857149,9.993148100880843,82.48291888605658,86.31927185617702
151,1144.772373540856,252.795719844358,514.0,0.8598940326553146,25.582125126616702,19.719546257725334,123.77235396555245,156.58710194248061
152,492.2972972972973,252.84275184275185,407.0,0.8756234606931411,22.764193258431348,17.54739138197641,112.00917121881338,148.5996171298613
153,560.4969040247678,255.72136222910217,646.0,0.8297497933256679,28.679483013103898,22.107091929439918,131.19825176258024,187.32608030151093
154,1424.0196078431372,244.1764705882353,51.0,1.1220251553892604,8.058239062071396,6.21155659093368,100.3469659166931,105.14567631699512
155,988.6811279826464,261.529284164859,922.0,0.6919784567931833,34.262616074167774,26.410755136298967,130.20854684800108,189.64385675081255
156,926.7867007672635,274.2373401534527,1955.0,0.6845728543977019,49.89171584499017,38.45818099994131,152.20338182366166,220.61028030872217
157,626.48,249.16,75.0,1.0373446900117904,9.772050238058398,7.532618801153269,103.44246524143121,108.74215405749679
159,348.875,250.33333333333334,24.0,1.3278012032107074,5.527906391541368,4.261092667511007,99.18141635042326,101.83440469615988
161,591.068306010929,266.8688524590164,366.0,0.9628868384284442,21.587164551489145,16.640098812718033,127.86658711267228,172.40429685980718
162,470.22,266.3666666666667,150.0,1.0208432005909294,13.81976597885342,10.652731668777518,98.95639286069701,108.14165136248033
163,1045.2779009608278,284.8691796008869,1353.0,0.8157716229525688,41.50533825939352,31.993684406503082,137.45529083169882,182.57967281845987
165,1308.2925925925927,272.65185185185186,270.0,0.9520220582333319,18.5411616971131,14.292139294470783,102.47239770513433,130.29793633185017
166,1413.3294314381271,281.4138795986622,1196.0,0.6742826683230486,39.022999570807656,30.080215828164377,130.0696316670204,169.47878713912195
167,626.15,276.07142857142856,420.0,0.9354755184713708,23.12489154112443,17.825429521319567,124.4467200764131,165.6781651042039
169,167.74124374553253,290.73409578270196,1399.0,0.7704848985973095,42.20500116200085,32.5330076607086,126.30326229409692,175.20350714089238
171,1139.9177215189873,283.40506329113924,158.0,0.9969272086076013,14.183506197980657,10.933114633108024,109.8999249191707,125.70080414967673
172,369.65181518151815,293.8292079207921,1212.0,0.7628688700396692,39.28315578233268,30.280752821162846,143.7927878491865,200.7588665138642
173,663.2736842105263,288.42105263157896,95.0,1.060190868532934,10.998079684646791,8.47768275755534,110.25504162269401,118.4102237746815
174,1449.4868421052631,293.74013157894734,304.0,0.9847515495510109,19.67396303746374,15.165339950057286,117.0467345213212,151.5887281080607
175,1299.906976744186,290.27906976744185,43.0,1.1267047410172168,7.399277020331919,5.703606903413514,87.08348957938246,90.52952840353996
176,422.2173913043478,295.5869565217391,184.0,0.902103040067531,15.306079714651624,11.798431344684055,106.15167378121359,121.83623027114542
177,1110.8823529411766,306.5330132052821,833.0,0.9448671803273814,32.56698544176895,25.103707089035083,143.18108301700917,188.70968029188256
180,469.1704892966361,327.47477064220186,2616.0,0.6005427308595654,57.71303708025757,44.48711351168618,138.56740368192345,192.69226651814867
181,668.3224852071006,309.4230769230769,338.0,0.9840470347920548,20.7449985808745,15.990929491091235,128.68747250908365,164.31858426207685
182,1326.5,304.0,20.0,1.1978046321112854,5.046265044040321,3.8898276226927324,92.09119374887167,93.1741284517066
185,325.70093457943926,308.66355140186914,107.0,0.6825360122651358,11.67204486311899,8.997197357972599,93.75093820043321,98.72884631773343
186,1218.385993485342,325.93485342019545,614.0,0.9216372504793691,27.96013377055607,21.552593794759048,128.8929415904317,180.9316345231049
187,1075.272,321.164,500.0,0.9573683980640171,25.2313252202016,19.44913811346366,133.88702311872282,176.96954322337967
190,405.75,326.0,416.0,0.7898253631684116,23.014509567006368,17.74034345306422,99.80390963437006,107.09320000824025
193,1046.2857142857142,321.6666666666667,21.0,1.161826052809369,5.170882945826411,3.9858872137802095,101.8367819216295,102.6208687690285
