label,x_px,y_px,x_init_px,y_init_px,center_offset_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,radius_change_factor,quality_score,gradient_sharpness,profile_symmetry,edge_contrast,center_quality,angular_variance,angular_cv,mean_intensity,max_intensity
26,769.7641805076778,735.5879034785333,769.7641805076778,735.5879034785333,0.0,6382.0,0.9057479734257828,90.14330132904945,486.3979296103249,91.99239468964532,496.37532303822894,0.020512820512365252,0.7940575401028289,7422.38135740285,0.8951882086996461,0.32337704340178786,0.4638050468096079,31326096.631633732,0.11560783067772447,49278.913350047005,63227.0
27,614.8280360160534,749.5227747128449,613.5925140172753,750.758296711623,1.747291967282219,6599.0,0.8799830790857657,91.66301192797091,494.5980296513033,91.6630119279709,494.59802965130325,1.5503368715462755e-16,0.7685335776814399,4293.140931421172,0.9217029773666826,0.19098771902185296,0.47838267884174657,25094818.95428405,0.1090376688431082,47966.43445976663,61573.0
28,152.036490914507,385.65445338099494,152.036490914507,385.65445338099494,0.0,6714.0,0.8913286072061407,92.45826249368892,498.8890665113215,94.3548422371492,509.1226883884768,0.020512820512376725,0.8135128373204978,7180.777909995382,0.8932135189696813,0.3137821220748626,0.41449665968267013,49059181.04825181,0.1412564677277686,50000.02129877867,63426.0
29,431.1211201079622,33.98397435897436,431.1211201079622,33.98397435897436,0.0,5928.0,0.6979707880381837,86.8778684199264,468.77820875629146,88.65997854136079,478.3941720128308,0.020512820512348266,0.5287369564351944,1026.2200159161366,0.9870528587702261,0.052673555242570266,0.2870754823027449,122812761.2809817,0.24834044063206248,49282.29588394062,62540.0
30,1161.4202206978825,930.8411257793312,1161.4202206978825,932.0766477781092,1.2355219987780401,6706.0,0.890848488039829,92.40316221317322,498.5917547647065,94.29861169446907,508.81927793936705,0.020512820512376476,0.8340425186159623,8758.361081024046,0.9314682282907973,0.35731945643745905,0.3877724436964674,55059741.4946681,0.15788320347558257,49022.47241276469,61356.0
31,145.64649929830034,117.67222828629346,145.64649929830034,117.67222828629346,0.0,6413.0,0.9080520524780128,90.36196766553171,487.577815988706,92.21554648944004,497.5794122141153,0.020512820512366425,0.8123067544098512,8136.083688827707,0.9169268267948698,0.339024638453971,0.45041905388794634,30444037.12602607,0.12201547456044709,47454.20552003742,62036.0
32,1118.0313791519975,785.3557324353284,1118.0313791519975,785.3557324353284,0.0,6533.0,0.8382901024827665,91.2034755135725,492.1184492803999,93.07431603692783,502.2131867015363,0.020512820512370612,0.8190263347393123,7571.415355460415,0.8960621816359623,0.3242499721478884,0.4434915887575475,34967643.65902069,0.12548341960701542,48849.17403949181,61570.0
33,528.1336701883325,783.086969836166,528.1336701883325,783.086969836166,0.0,6531.0,0.8583282841790968,91.18951401704774,492.0431154186067,91.18951401704774,492.0431154186067,0.0,0.798251009707021,4926.882492134961,0.910653594554942,0.20494850441580945,0.4623292636657388,28460256.555499524,0.11629606399368954,48437.03965702037,61541.0
34,444.6895189821868,819.0337858220212,443.45399698340873,819.0337858220212,1.235521998778097,6630.0,0.8821437016770014,91.87806148147733,495.7584004835998,93.76273966571276,505.9278035704429,0.020512820512373922,0.7936754599622695,5931.663087523993,0.9132658446097925,0.2636478863223682,0.39078865082265596,52204166.06306084,0.15589279471010295,49121.762745098036,63034.0
35,785.6052303860523,516.040316519326,785.6052303860523,514.804794520548,1.2355219987780401,6424.0,0.8352907112685612,90.43943186121132,487.9957996196799,90.43943186121132,487.9957996196799,0.0,0.791515441248963,6057.654685434848,0.8755149372649849,0.2700907582689024,0.5260406849911611,19481671.521283828,0.09009936465594913,49526.97882938979,61680.0
36,539.6624959897338,693.6360282322746,539.6624959897338,693.6360282322746,0.0,6234.0,0.8729691439641867,89.09194869279156,480.7250095150255,87.26442154011892,470.86398367881986,0.020512820512359992,0.7478774271393425,4054.290406539476,0.9241483961775614,0.17447829598404474,0.5561710386071409,13672113.30489466,0.07980080417426479,47790.352582611486,60982.0
