label,x_px,y_px,x_init_px,y_init_px,center_offset_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,radius_change_factor,quality_score,gradient_sharpness,profile_symmetry,edge_contrast,center_quality,angular_variance,angular_cv,mean_intensity,max_intensity
224,629.1854460093897,717.9473743647573,629.1854460093897,715.7852112676056,2.1621630971516197,2556.0,0.5985169887902118,57.04735117727269,439.7398085003063,61.728159478997625,475.8210235567417,0.08205128204840542,0.9239845249131196,10908.249318036193,0.9113645228642142,0.32382953543142906,0.36202313646186346,54159973.5258778,0.1762254395598119,42165.998043818465,61166.0
225,442.84891867194636,766.1614377094121,442.84891867194636,766.1614377094121,0.0,3283.0,0.6457264598421126,64.65327080175867,498.3687469193203,65.97949174128192,508.59169557407563,0.020512820512185944,0.9316491097259081,14997.622390902046,0.8559123491052546,0.4514948420057385,0.3815045200081646,69865563.15456578,0.162120092306796,44914.0965580262,62451.0
226,1066.268368635267,810.1437392795883,1068.4305317324186,810.1437392795883,2.162163097151506,2915.0,0.5739629557403744,60.92202617200941,469.60708200248524,59.672343583865626,459.97411621781885,0.020512820512147124,0.9596986073052056,10809.951185286563,0.8992465182630142,0.3235503008893265,0.3399111367149674,79445048.08849543,0.19419453850920756,42769.472727272725,62194.0
228,920.3190893169877,433.42136602451836,920.3190893169877,433.42136602451836,0.0,2855.0,0.7751494030826716,60.29178136544723,464.74894705271777,62.765290344542485,483.8155705215471,0.04102564102427989,0.9376497570607609,15034.712070182994,0.8441243926519024,0.42377167440772173,0.41843489206414025,38456820.6826389,0.13898580614704423,43570.36672504378,62194.0
229,753.6289965178854,677.6327951883508,753.6289965178854,677.6327951883508,0.0,3159.0,0.8117762274146093,63.420530759513355,488.86637986947954,64.72146472381107,498.8944081744945,0.020512820512173673,0.956265499583411,17772.48524527659,0.8906637489585273,0.5057892967488758,0.4255103417170812,41912756.36661784,0.13501191439076538,43157.20702754036,62194.0
230,1262.0156823490156,788.38004671338,1262.0156823490156,788.38004671338,0.0,2997.0,0.7121495222780057,61.77296265819928,476.16638124707725,64.3072380493049,495.70141227259836,0.04102564102431283,0.947316853498001,17368.318728048253,0.8682921337450021,0.49993011833091255,0.3614988359356885,63545653.18614772,0.17662606365291375,42086.94427761094,61937.0
232,50.19181757209926,271.81656606304495,50.19181757209926,271.81656606304495,0.0,2982.0,0.7301034346222242,61.61818175181945,474.97327894300236,62.88214445442087,484.71632056234597,0.020512820512154605,0.9321804402038427,13344.286529397048,0.8874329397739243,0.4003422201442904,0.3955957891928116,50267612.109228,0.15278327710222533,42972.69248826291,62451.0
235,1299.5424005218526,874.5557729941291,1299.5424005218526,874.5557729941291,0.0,3066.0,0.5245906430122682,62.48001635849665,481.61658449669045,65.0432990808965,501.3752136042469,0.04102564102432766,0.8612887528061437,12347.944955421435,0.8859491230124439,0.38870991499834706,0.3443410969863514,80984793.5941835,0.1904097154687397,43600.561317677755,62451.0
236,1334.4157824933686,947.8965795427749,1334.4157824933686,945.7344164456233,2.1621630971516197,3016.0,0.5591458101447475,61.968463486851526,477.6733661496022,65.7819073937347,507.0686502203469,0.06153846153647544,0.9646869265064479,20073.2313488121,0.9117173162661198,0.5336939784638606,0.43421523371113574,48458745.75999527,0.13030053355181362,47134.02155172414,62451.0
237,455.6350197109067,955.8833771353483,455.6350197109067,955.8833771353483,0.0,3044.0,0.7041641036149285,62.255450959525106,479.8855602948361,63.53248585100254,489.7293666598584,0.020512820512161467,0.942030890586159,14401.628939408687,0.8783471720791491,0.43488767762100516,0.3512742829456231,77854548.74313127,0.18467782828121207,43525.36465177398,62451.0
239,958.4832260250762,484.8763131141986,958.4832260250762,484.8763131141986,0.0,2951.0,0.8227041039752754,61.29706270706179,472.4979873767256,62.554438352334856,482.1902537844533,0.02051282051215126,0.9310608179220825,14281.948306429445,0.8276520448052063,0.42370835167292303,0.3877593447904811,52289461.19930318,0.157891915033107,43585.05760759065,62451.0
240,985.8042744656918,706.6083573228734,985.8042744656918,704.4461942257218,2.1621630971516197,2667.0,0.6926657144209425,58.27289134587951,449.18667654818336,60.66357406776173,467.6148478937497,0.04102564102423272,0.9360022006071786,8244.164430005916,0.9265984714874443,0.255586978792354,0.30641675955122716,93606905.1754744,0.2263529062393921,41975.510311211096,61937.0
242,1438.7194740137759,972.8046336881653,1438.7194740137759,972.8046336881653,0.0,3194.0,0.5873035811219025,63.7708954452116,491.5671064871879,65.07901637742108,501.6505343125662,0.020512820512177416,0.870297696276916,15283.890283010978,0.8127148903123027,0.47512724358001546,0.38731397441509385,67569836.96413483,0.15818846363861783,44414.08985597996,62451.0
243,1494.8450217493541,154.81645983017634,1497.0071848465057,154.81645983017634,2.162163097151506,3062.0,0.4186177441160809,62.43924635979416,481.3023158925921,62.43924635979416,481.3023158925921,0.0,0.9314167561477835,12210.756559841748,0.8626218819427673,0.3755004278336616,0.34979846798524805,67528127.13582213,0.18587889642849226,42692.215545395164,62451.0
244,1252.7297016500866,506.18078339471043,1254.891864747238,506.18078339471043,2.162163097151506,2987.0,0.5567004996495314,61.669818551086486,475.37131243189646,61.66981855108648,475.3713124318964,1.152172573928448e-16,0.9084473059698055,10582.113441873851,0.8689685560490243,0.32438793673883015,0.3725780401324386,56882958.0683243,0.16840014501244746,42018.25242718447,61937.0
245,1111.4490027484972,692.0091954022988,1113.6111658456487,692.0091954022988,2.162163097151506,3045.0,0.6941021610046793,62.265676048032844,479.964378651333,62.265676048032844,479.964378651333,0.0,0.9172563041850956,10687.647502877773,0.8653521426422921,0.34369018408654445,0.37498369545993043,58411107.00980982,0.16667826151040127,42611.02200328407,62451.0
248,354.4009033612898,970.4266847273959,352.2387402641382,970.4266847273959,2.1621630971516197,2953.0,0.5688262507370853,61.3178308129286,472.65807479022186,62.575632470629685,482.3536250423289,0.020512820512151246,0.7972066513380136,6057.326455327026,0.8875032788768753,0.19423165761288502,0.34285050486919183,86952870.68243384,0.19167231367546947,44880.137148662376,62451.0
249,702.0790745856353,233.08736187845304,702.0790745856353,233.08736187845304,0.0,2896.0,0.7293246882102868,60.72315638661277,468.0741280696188,63.2143628024738,487.2771692211928,0.04102564102428966,0.8516631124370673,9288.199306322824,0.8300305014427719,0.2791155825669294,0.3412271804840009,58698201.676939145,0.1930598900654946,41973.53107734807,62451.0
253,85.83620689655173,215.92896551724138,85.83620689655173,215.92896551724138,0.0,2900.0,0.7265166417345921,60.76507779746498,468.3972721385332,62.01154093177195,478.0054213106056,0.0205128205121452,0.9593338243587204,14507.557816765035,0.8983345608968011,0.4253323999507207,0.3659547083084864,63511038.99187179,0.17325785877224914,43150.3,62451.0
254,1214.8348266458902,453.98218647073946,1214.8348266458902,451.82002337358784,2.1621630971516197,2567.0,0.5973642983633496,57.16997386159244,440.6850246165288,61.86084351177438,476.8437958671157,0.08205128204841151,0.9460962237257433,12838.46213226195,0.8867731603464731,0.3647021924391244,0.4306871505621744,35122601.17020154,0.13218709884766788,44180.873003506036,62194.0
255,1292.0843288826422,556.5611384399157,1292.0843288826422,556.5611384399157,0.0,2846.0,0.6152091521877059,60.196675525449685,464.0158398530895,60.19667552544968,464.01583985308946,1.1803687322169355e-16,0.9175759738240141,9344.032303368274,0.9154303349477574,0.28193852055853613,0.346172659113385,73741240.66036755,0.188873189049994,42874.21011946592,61937.0
256,1201.8713195201744,625.5372994112192,1201.8713195201744,623.3751363140676,2.1621630971516197,2751.0,0.5508193583518267,59.18346042237166,456.2056434775801,61.61149982431512,474.9217724407629,0.04102564102425473,0.89120948304711,10732.157276606187,0.8486864779581269,0.3351475296737264,0.3728570119282821,58261717.19745997,0.1681993278947231,43226.540530716105,62451.0
258,1152.0892919427974,743.0048831531217,1152.0892919427974,743.0048831531217,0.0,2867.0,0.7844370973742443,60.418356273203194,465.72462821142034,61.65770717111506,475.27795391832126,0.020512820512141514,0.8887568371671841,11284.789983306577,0.8597317945916799,0.35428109295049454,0.4248815929105731,39367840.15795199,0.13535969001379516,42654.73910010464,62194.0
262,565.9122681883024,893.0074893009986,565.9122681883024,893.0074893009986,0.0,2804.0,0.7405064791251406,59.75084671732608,460.5792442765661,60.97650511152764,470.02702364634183,0.020512820512134003,0.8904904744189592,9679.239633321913,0.8639638965679457,0.2935094577914053,0.31629036254195425,84607675.20110266,0.2161651818801008,42062.57774607703,61680.0
264,1196.3539288112827,795.8670248488919,1196.3539288112827,795.8670248488919,0.0,2978.0,0.6990109093445851,61.576841135457045,474.65461182967755,64.10307051537322,494.1276215457668,0.04102564102430832,0.915850457877009,12214.369473253239,0.8598358211958195,0.3776870024948873,0.38681058667180807,47187388.93666212,0.15852446506291112,41986.360980523845,62194.0
