file,folder,filename,acquired,microscope_type,software_version,image_width_px,image_height_px,HV_kV,spot_size,WD_mm,pixel_width_nm,pixel_height_nm,HFW_um,VFW_um,magnification_x,dwell_time_us,frame_time_s,line_integration,detector_name,detector_signal,vacuum_mode,chamber_pressure_mbar,active_stage,scan_rotation_deg
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\Latex particle_T2_20nm_006.tif,20 nm,Latex particle_T2_20nm_006.tif,02/14/2025 12:00:10 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.89728,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000248177,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\Latex particle_T2_20nm_007.tif,20 nm,Latex particle_T2_20nm_007.tif,02/14/2025 12:02:19 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.8966000000000003,0.770833,0.770833,1.184,0.789333,437500.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000240685,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\Latex particle_T2_20nm_008.tif,20 nm,Latex particle_T2_20nm_008.tif,02/14/2025 12:08:31 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.8946300000000003,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000226373,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_200nm_001.tif,200 nm,Latex particle_200nm_001.tif,02/07/2025 10:10:55 AM,SEM,13.9.1.6395,1536,1094,2.0,4.0,10.0912,5.39583,5.39583,8.287999999999998,5.525329999999999,62500.00000000001,5.0,31.7545,4.0,ETD,SE,High vacuum,0.000855722,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_200nm_002.tif,200 nm,Latex particle_200nm_002.tif,02/07/2025 10:19:10 AM,SEM,13.9.1.6395,1536,1094,2.0,4.0,10.0959,3.3724,3.3724,5.180000000000001,3.4533300000000002,100000.0,5.0,31.7545,4.0,ETD,SE,High vacuum,0.000521741,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_200nm_003.tif,200 nm,Latex particle_200nm_003.tif,02/07/2025 10:24:24 AM,SEM,13.9.1.6395,1536,1094,2.0,4.0,10.0908,3.3724,3.3724,5.180000000000001,3.4533300000000002,100000.0,5.0,31.7545,4.0,ETD,SE,High vacuum,0.000419895,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_Cpad_200nm_001.tif,200 nm,Latex particle_Cpad_200nm_001.tif,02/07/2025 10:28:51 AM,SEM,13.9.1.6395,1536,1094,2.0,4.0,9.79406,2.6979200000000003,2.6979200000000003,4.143999999999999,2.76267,125000.00000000001,5.0,31.7545,4.0,ETD,SE,High vacuum,0.000356207,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_Cpad_200nm_002.tif,200 nm,Latex particle_Cpad_200nm_002.tif,02/07/2025 10:38:56 AM,SEM,13.9.1.6395,1536,1094,2.0,4.0,9.78237,2.6979200000000003,2.6979200000000003,4.143999999999999,2.76267,125000.00000000001,5.0,31.7545,4.0,ETD,SE,High vacuum,0.000269627,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_Cpad_200nm_003.tif,200 nm,Latex particle_Cpad_200nm_003.tif,02/07/2025 10:40:39 AM,SEM,13.9.1.6395,1536,1094,2.0,4.0,9.7874,2.6979200000000003,2.6979200000000003,4.143999999999999,2.76267,125000.00000000001,3.0,19.0404,4.0,ETD,SE,High vacuum,0.000260923,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_Cpad_200nm_004.tif,200 nm,Latex particle_Cpad_200nm_004.tif,02/07/2025 10:47:11 AM,SEM,13.9.1.6395,1536,1094,2.0,4.0,9.7874,5.39583,5.39583,8.287999999999998,5.525329999999999,62500.00000000001,5.0,31.7545,4.0,ETD,SE,High vacuum,0.000227942,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_Cpad_T2_200nm_001.tif,200 nm,Latex particle_Cpad_T2_200nm_001.tif,02/07/2025 11:00:20 AM,SEM,13.9.1.6395,3072,2048,2.0,4.0,2.9910900000000002,0.674479,0.674479,2.0719999999999996,1.38133,250000.00000000003,5.0,126.423,4.0,T2,SE,High vacuum,0.000181321,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_Cpad_T2_200nm_002.tif,200 nm,Latex particle_Cpad_T2_200nm_002.tif,02/07/2025 11:09:36 AM,SEM,13.9.1.6395,6144,4096,2.0,4.0,2.9910900000000002,0.33724000000000004,0.33724000000000004,2.0719999999999996,1.38133,250000.00000000003,5.0,504.505,4.0,T2,SE,High vacuum,0.000164393,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_T2_200nm_001.tif,200 nm,Latex particle_T2_200nm_001.tif,02/07/2025 11:25:22 AM,SEM,13.9.1.6395,3072,2048,2.0,4.0,3.31246,0.674479,0.674479,2.0719999999999996,1.38133,250000.00000000003,5.0,126.423,4.0,T2,SE,High vacuum,0.000143986,Bulk,-0.366836
